timebg	Bbgz
2021-06-07T16:42:20.506	-69.5510126932307
2021-06-07T16:42:21.506	-69.5587473491995
2021-06-07T16:42:22.506	-69.5664820051684
2021-06-07T16:42:23.505	-69.5742089264812
2021-06-07T16:42:24.505	-69.5819435824501
2021-06-07T16:42:25.505	-69.5896782384189
2021-06-07T16:42:26.505	-69.5974128943878
2021-06-07T16:42:27.505	-69.6051475503566
2021-06-07T16:42:28.505	-69.6128822063254
2021-06-07T16:42:29.506	-69.6206245969503
2021-06-07T16:42:30.505	-69.6283515182631
2021-06-07T16:42:31.506	-69.6360939088879
2021-06-07T16:42:32.506	-69.6438285648568
2021-06-07T16:42:33.506	-69.6515632208256
2021-06-07T16:42:34.506	-69.6592978767945
2021-06-07T16:42:35.506	-69.6670325327633
2021-06-07T16:42:36.506	-69.6747671887322
2021-06-07T16:42:37.505	-69.682494110045
2021-06-07T16:42:38.505	-69.6902287660139
2021-06-07T16:42:39.505	-69.6979634219827
2021-06-07T16:42:40.505	-69.7056980779516
2021-06-07T16:42:41.505	-69.7134327339204
2021-06-07T16:42:42.505	-69.7211673898893
2021-06-07T16:42:43.505	-69.7289020458581
2021-06-07T16:42:44.506	-69.7366444364829
2021-06-07T16:42:45.506	-69.7443790924518
2021-06-07T16:42:46.506	-69.7521137484206
2021-06-07T16:42:47.506	-69.7598484043894
2021-06-07T16:42:48.506	-69.7675830603583
2021-06-07T16:42:49.506	-69.7753177163271
2021-06-07T16:42:50.505	-69.78304463764
2021-06-07T16:42:51.505	-69.7907792936088
2021-06-07T16:42:52.505	-69.7985139495777
2021-06-07T16:42:53.505	-69.8062486055465
2021-06-07T16:42:54.505	-69.8139832615154
2021-06-07T16:42:55.505	-69.8217179174842
2021-06-07T16:42:56.506	-69.829460308109
2021-06-07T16:42:57.505	-69.8371872294219
2021-06-07T16:42:58.506	-69.8449296200467
2021-06-07T16:42:59.506	-69.8526642760156
2021-06-07T16:43:00.506	-69.8603989319844
2021-06-07T16:43:01.506	-69.8681335879533
2021-06-07T16:43:02.506	-69.8758682439221
2021-06-07T16:43:03.506	-69.8836028998909
2021-06-07T16:43:04.505	-69.8913298212038
2021-06-07T16:43:05.505	-69.8990644771727
2021-06-07T16:43:06.505	-69.9067991331415
2021-06-07T16:43:07.505	-69.9145337891104
2021-06-07T16:43:08.505	-69.9222684450792
2021-06-07T16:43:09.505	-69.930003101048
2021-06-07T16:43:10.505	-69.9377377570169
2021-06-07T16:43:11.506	-69.9454801476417
2021-06-07T16:43:12.506	-69.9532148036105
2021-06-07T16:43:13.506	-69.9609494595794
2021-06-07T16:43:14.506	-69.9686841155482
2021-06-07T16:43:15.506	-69.9764187715171
2021-06-07T16:43:16.506	-69.9841534274859
2021-06-07T16:43:17.505	-69.9918803487988
2021-06-07T16:43:18.505	-69.9996150047676
2021-06-07T16:43:19.505	-70.0073496607365
2021-06-07T16:43:20.505	-70.0150843167053
2021-06-07T16:43:21.505	-70.0228189726742
2021-06-07T16:43:22.505	-70.030553628643
2021-06-07T16:43:23.506	-70.0382960192678
2021-06-07T16:43:24.505	-70.0460229405807
2021-06-07T16:43:25.506	-70.0537653312055
2021-06-07T16:43:26.506	-70.0614999871744
2021-06-07T16:43:27.506	-70.0692346431432
2021-06-07T16:43:28.506	-70.0769692991121
2021-06-07T16:43:29.506	-70.0847039550809
2021-06-07T16:43:30.506	-70.0924386110497
2021-06-07T16:43:31.505	-70.1001655323626
2021-06-07T16:43:32.505	-70.1079001883315
2021-06-07T16:43:33.505	-70.1156348443003
