time	Bz
1996-09-06T19:02:08.786	-630.105459080912
1996-09-06T19:02:09.153	-627.602138144392
1996-09-06T19:02:09.453	-624.511526020454
1996-09-06T19:02:09.820	-624.55500218549
1996-09-06T19:02:10.120	-622.804910866525
1996-09-06T19:02:10.486	-623.633431583287
1996-09-06T19:02:10.786	-622.255981003313
1996-09-06T19:02:11.153	-623.404850645331
1996-09-06T19:02:11.453	-619.143768526712
1996-09-06T19:02:11.820	-617.091498644101
1996-09-06T19:02:12.120	-618.048126064149
1996-09-06T19:02:12.486	-614.714786937582
1996-09-06T19:02:12.786	-616.81257028236
1996-09-06T19:02:13.153	-614.677679198487
1996-09-06T19:02:13.453	-611.902291114796
1996-09-06T19:02:13.820	-613.016493779953
1996-09-06T19:02:14.120	-609.375127494117
1996-09-06T19:02:14.486	-607.87046427708
1996-09-06T19:02:14.786	-606.516586640073
1996-09-06T19:02:15.153	-605.697231343452
1996-09-06T19:02:15.453	-604.415495294951
1996-09-06T19:02:15.820	-602.404970803554
1996-09-06T19:02:16.120	-601.928876724735
1996-09-06T19:02:16.486	-602.681104226247
1996-09-06T19:02:16.786	-598.696519954386
1996-09-06T19:02:17.153	-596.302825139933
1996-09-06T19:02:17.453	-597.237414762196
1996-09-06T19:02:17.820	-596.13214114028
1996-09-06T19:02:18.120	-591.62545637098
1996-09-06T19:02:18.486	-590.689708597341
1996-09-06T19:02:18.786	-592.855661764946
1996-09-06T19:02:19.153	-588.909287893059
1996-09-06T19:02:19.453	-589.003947481818
1996-09-06T19:02:19.820	-586.194637253591
1996-09-06T19:02:20.120	-585.619924852229
1996-09-06T19:02:20.486	-585.500554727967
1996-09-06T19:02:20.786	-584.916926228706
1996-09-06T19:02:21.153	-582.918256380706
1996-09-06T19:02:21.453	-579.495371936367
1996-09-06T19:02:21.820	-580.554448886195
1996-09-06T19:02:22.120	-581.890779804129
1996-09-06T19:02:22.486	-577.438047338021
1996-09-06T19:02:22.786	-576.148442119706
1996-09-06T19:02:23.153	-575.525299825376
1996-09-06T19:02:23.453	-575.230525367005
1996-09-06T19:02:23.820	-574.148172067591
1996-09-06T19:02:24.120	-570.710941327893
1996-09-06T19:02:24.486	-570.098578696058
1996-09-06T19:02:24.786	-571.114280240818
1996-09-06T19:02:25.153	-568.45063552994
1996-09-06T19:02:25.453	-567.262586427221
1996-09-06T19:02:25.820	-564.816592479007
1996-09-06T19:02:26.120	-564.340288915175
1996-09-06T19:02:26.486	-561.193340871935
1996-09-06T19:02:26.786	-562.609885144435
1996-09-06T19:02:27.153	-556.074292876073
1996-09-06T19:02:27.453	-557.91093300058
1996-09-06T19:02:27.820	-556.938238174863
1996-09-06T19:02:28.120	-553.573202060426
1996-09-06T19:02:28.486	-556.110513456171
1996-09-06T19:02:28.786	-555.627155333447
1996-09-06T19:02:29.153	-552.220583894088
1996-09-06T19:02:29.453	-550.527448823468
1996-09-06T19:02:29.820	-551.270287521757
1996-09-06T19:02:30.120	-549.536282982986
1996-09-06T19:02:30.486	-546.325802777397
1996-09-06T19:02:30.786	-546.701367357103
1996-09-06T19:02:31.153	-545.488171340231
1996-09-06T19:02:31.453	-544.487887963705
1996-09-06T19:02:31.820	-541.727996508827
1996-09-06T19:02:32.120	-541.060693361253
1996-09-06T19:02:32.486	-538.36877840095
1996-09-06T19:02:32.786	-538.338135087997
1996-09-06T19:02:33.153	-538.207405411737
1996-09-06T19:02:33.453	-536.871875013012
1996-09-06T19:02:33.820	-534.207372607851
1996-09-06T19:02:34.120	-534.163591451199
1996-09-06T19:02:34.486	-530.775423922781
1996-09-06T19:02:34.786	-531.444934525925
1996-09-06T19:02:35.153	-530.362366261551
1996-09-06T19:02:35.453	-528.847941529078
1996-09-06T19:02:35.820	-528.411405634763
1996-09-06T19:02:36.120	-525.16880367326
1996-09-06T19:02:36.486	-526.564435305996
1996-09-06T19:02:36.786	-524.716175744025
1996-09-06T19:02:37.153	-521.406592695448
1996-09-06T19:02:37.453	-519.548835890327
1996-09-06T19:02:37.820	-520.47509965666
1996-09-06T19:02:38.120	-517.306308981304
1996-09-06T19:02:38.486	-513.963573970892
1996-09-06T19:02:38.786	-516.580116825161
1996-09-06T19:02:39.153	-514.235100645931
1996-09-06T19:02:39.453	-513.181879721911
1996-09-06T19:02:39.820	-512.789487804901
1996-09-06T19:02:40.120	-511.690197242248
1996-09-06T19:02:40.486	-510.25439224108
1996-09-06T19:02:40.786	-507.767944851389
1996-09-06T19:02:41.153	-507.427073816603
1996-09-06T19:02:41.453	-506.824378834604
1996-09-06T19:02:41.820	-505.300563672272
1996-09-06T19:02:42.120	-503.181429607057
1996-09-06T19:02:42.486	-501.316519951892
1996-09-06T19:02:42.786	-501.749912908335
1996-09-06T19:02:43.153	-501.189827383427
